City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
8,Guapi,CO,76.86,broken clouds,2.5708,-77.8854,Hotel Emperador Guapí
9,Butaritari,KI,83.44,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
10,Santarem,BR,81.91,broken clouds,-2.4431,-54.7083,Ecotur Lodge
14,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Monrovia,LR,77.63,broken clouds,6.3005,-10.7969,Sunset Inn
19,Shahr-E Babak,IR,75.9,broken clouds,30.1165,55.1186,Duna Ecolodge
21,Atuona,PF,77.29,light rain,-9.8,-139.0333,Villa Enata
29,Kahului,US,84.22,light rain,20.8947,-156.47,Maui Seaside Hotel
34,Champerico,GT,85.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
40,Hilo,US,83.93,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
41,Najran,SA,82.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
43,Hithadhoo,MV,81.19,broken clouds,-0.6,73.0833,Scoop Guest House
47,Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
52,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
59,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
63,Tukrah,LY,78.69,clear sky,32.5341,20.5791,Lagrota restaurant
67,San Policarpo,PH,79.39,overcast clouds,12.1791,125.5072,Manong Aklan Resort
69,Santa Cruz,BO,81.86,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
70,Ponta Do Sol,PT,83.03,clear sky,32.6667,-17.1,Hotel do Campo
74,Villarrica,PY,77.23,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
77,Santa Rosa,PH,85.08,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
78,Itaituba,BR,81.14,scattered clouds,-4.2761,-55.9836,Hotel Campos
83,Noumea,NC,76.98,light rain,-22.2763,166.4572,Hôtel Le Lagon
86,Hasaki,JP,86.4,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
89,Daru,PG,77.7,overcast clouds,-9.0763,143.2092,Daru Lodge
94,Nago,JP,82.47,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
95,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
