City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Bambous Virieux,MU,-20.3428,57.7575,69.22,83,20,13.8,light rain,2021-08-18 00:17:58
1,Saldanha,ZA,-33.0117,17.9442,55.45,89,100,9.08,overcast clouds,2021-08-18 00:17:59
2,Avarua,CK,-21.2078,-159.775,75.25,60,75,13.8,broken clouds,2021-08-18 00:17:59
3,Yellowknife,CA,62.456,-114.3525,59.52,55,20,11.5,few clouds,2021-08-18 00:17:36
4,Busselton,AU,-33.65,115.3333,56.08,85,4,3.96,clear sky,2021-08-18 00:18:00
5,Port Augusta,AU,-32.5,137.7667,54.72,52,76,2.77,broken clouds,2021-08-18 00:09:20
6,Ndele,CF,8.4109,20.6473,70.0,97,91,3.44,overcast clouds,2021-08-18 00:11:18
7,Rikitea,PF,-23.1203,-134.9692,74.66,76,0,20.74,light rain,2021-08-18 00:18:00
8,Guapi,CO,2.5708,-77.8854,76.86,87,70,3.27,broken clouds,2021-08-18 00:11:18
9,Butaritari,KI,3.0707,172.7902,83.44,69,92,12.95,overcast clouds,2021-08-18 00:18:01
10,Santarem,BR,-2.4431,-54.7083,81.91,60,62,1.66,broken clouds,2021-08-18 00:11:19
11,Airai,TL,-8.9266,125.4092,66.65,47,29,4.38,scattered clouds,2021-08-18 00:18:01
12,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,88,20,4.23,few clouds,2021-08-18 00:18:02
13,Bredasdorp,ZA,-34.5322,20.0403,51.12,87,100,3.44,overcast clouds,2021-08-18 00:18:02
14,Kapaa,US,22.0752,-159.319,84.52,67,40,1.01,scattered clouds,2021-08-18 00:18:02
15,Hobart,AU,-42.8794,147.3294,53.11,75,75,1.99,broken clouds,2021-08-18 00:13:32
16,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,90,13.8,overcast clouds,2021-08-18 00:18:03
17,Ushuaia,AR,-54.8,-68.3,35.26,80,75,23.02,light intensity drizzle,2021-08-18 00:15:56
18,Monrovia,LR,6.3005,-10.7969,77.63,77,65,11.52,broken clouds,2021-08-18 00:11:20
19,Shahr-E Babak,IR,30.1165,55.1186,75.9,27,53,8.08,broken clouds,2021-08-18 00:11:20
20,Port-Cartier,CA,50.0334,-66.8654,73.92,68,54,7.85,broken clouds,2021-08-18 00:18:03
21,Atuona,PF,-9.8,-139.0333,77.29,77,29,11.9,light rain,2021-08-18 00:15:17
22,Ondjiva,AO,-17.0667,15.7333,61.74,27,0,5.39,clear sky,2021-08-18 00:11:21
23,Dikson,RU,73.5069,80.5464,41.63,95,100,16.53,overcast clouds,2021-08-18 00:18:04
24,Lebu,CL,-37.6167,-73.65,51.03,93,100,18.79,overcast clouds,2021-08-18 00:18:04
25,Aitape,PG,-3.1374,142.3475,82.85,74,92,3.38,overcast clouds,2021-08-18 00:09:15
26,Albany,US,42.6001,-73.9662,73.62,86,100,4.74,overcast clouds,2021-08-18 00:15:06
27,Hermanus,ZA,-34.4187,19.2345,54.9,79,100,6.51,overcast clouds,2021-08-18 00:18:05
28,Bereda,ES,43.2686,-7.5406,60.91,92,10,6.02,clear sky,2021-08-18 00:11:22
29,Kahului,US,20.8947,-156.47,84.22,75,40,12.66,light rain,2021-08-18 00:18:05
30,Arraial Do Cabo,BR,-22.9661,-42.0278,70.79,91,2,24.87,clear sky,2021-08-18 00:18:06
31,Paita,PE,-5.0892,-81.1144,64.56,87,20,13.24,few clouds,2021-08-18 00:18:06
32,Katangli,RU,51.7102,143.2326,71.74,66,16,13.11,few clouds,2021-08-18 00:11:23
